kepoi_name,koi_disposition,koi_period,koi_depth,koi_duration,koi_prad,koi_teq,koi_insol,koi_steff,koi_slogg,koi_srad,koi_score,koi_model_snr,koi_impact
K06300.01,FALSE POSITIVE,6.62761199,227140.0,6.15281,82.03,1204.0,496.41,6316.0,4.231,1.333,0.0,4355.5,0.753
K06301.01,CANDIDATE,50.271927,574.5,6.073,2.94,589.0,28.51,6520.0,4.375,1.215,0.789,9.3,0.205
K06302.01,FALSE POSITIVE,28.597882381,85646.0,7.69792,37.25,742.0,71.68,6584.0,4.3,1.243,,7225.7,0.3568
K06303.01,FALSE POSITIVE,30.476518853,326630.0,10.2264,71.42,592.0,28.96,5527.0,4.315,1.073,0.0,1347.9,0.6
K06304.01,FALSE POSITIVE,13.782522208,248940.0,8.27762,41.84,605.0,31.69,5246.0,4.604,0.668,0.0,1524.1,0.718
K06305.01,FALSE POSITIVE,1.89124686,85.9,5.488,0.83,1433.0,997.34,5741.0,4.438,0.884,,13.1,0.4139
K06306.01,FALSE POSITIVE,3.693702974,25208.0,3.37146,62.55,1453.0,1054.1,6309.0,4.265,1.396,0.0,568.7,1.19
K06307.01,FALSE POSITIVE,10.265613507,150830.0,5.66906,39.63,825.0,109.76,5895.0,4.49,0.913,,6185.6,0.6714
K06308.01,FALSE POSITIVE,2.163569702,54518.0,7.60963,85.64,1996.0,3760.06,6425.0,4.04,1.718,0.0,1513.2,1.116
K06309.01,FALSE POSITIVE,0.730956716,27.8,2.097,0.57,2192.0,5431.8,6028.0,4.371,1.078,0.0,11.2,0.129
K06310.01,FALSE POSITIVE,7.04715073,282.5,1.434,1.54,932.0,178.49,5941.0,4.519,0.911,0.0,9.8,0.272
K06311.01,CANDIDATE,7.047106313,70261.0,3.1392,121.64,1846.0,2744.25,8162.0,3.973,2.321,,1116.9,1.0848
K06312.01,FALSE POSITIVE,1.703347524,504410.0,3.3039,47.62,1202.0,495.27,5325.0,4.657,0.648,0.0,1288.0,0.223
K06313.01,FALSE POSITIVE,1.70333299,108.6,1.772,0.9,1418.0,957.0,5747.0,4.547,0.861,,9.0,0.2375
K06314.01,FALSE POSITIVE,20.413812,496.4,5.806,16.5,586.0,27.84,5514.0,4.569,0.826,0.0,11.6,1.158
K06315.01,CANDIDATE,5.32737192,107.7,2.226,0.7,782.0,88.33,4905.0,4.593,0.679,,6.8,0.3554
K06316.01,FALSE POSITIVE,67.41957167,187980.0,7.6438,49.16,469.0,11.48,6071.0,4.425,0.962,,1490.8,0.6959
K06317.01,FALSE POSITIVE,7.363572395,129700.0,5.7545,82.22,1287.0,649.25,6793.0,4.208,1.508,0.0,224.9,0.922
K06318.01,CANDIDATE,5.90260586,337.7,1.832,1.26,759.0,78.58,4960.0,4.627,0.707,,8.2,0.1049
K06319.01,FALSE POSITIVE,33.693199482,514290.0,7.4511,69.1,518.0,17.07,5427.0,4.448,0.899,,2390.4,0.3724
K06320.01,CANDIDATE,22.80265,53.1,19.34,2.36,1045.0,281.59,5011.0,3.321,3.324,,11.8,0.1018
K06321.01,FALSE POSITIVE,2.115511035,406890.0,7.4284,188.3,2702.0,12609.03,7563.0,3.883,2.638,,1701.5,0.489
K06322.01,FALSE POSITIVE,1.015044104,158.2,10.994,1.98,1979.0,3627.61,5910.0,4.318,1.124,0.0,33.6,0.984
K06323.01,FALSE POSITIVE,3.711013336,24989.0,3.31024,55.69,1436.0,1003.75,6338.0,4.256,1.247,0.0,757.0,1.192
K06324.01,FALSE POSITIVE,2.97606298,72.2,4.124,5.65,2615.0,11065.06,5321.0,3.158,6.669,0.0,17.8,0.363
